yearmonth,region,fueltype,cost
2020년01월,서울,경유,1483.56
2020년02월,서울,경유,1455.88
2020년03월,서울,경유,1382.16
2020년04월,서울,경유,1237.83
2020년05월,서울,경유,1168.79
2020년06월,서울,경유,1230.49
2020년07월,서울,경유,1261.81
2020년08월,서울,경유,1265.42
2020년09월,서울,경유,1253.3
2020년10월,서울,경유,1231.73
2020년11월,서울,경유,1214.55
2020년12월,서울,경유,1255.59
2021년01월,서울,경유,1321.59
2021년02월,서울,경유,1347.96
2021년03월,서울,경유,1400.02
2021년04월,서울,경유,1413.45
2021년05월,서울,경유,1422.41
2021년06월,서울,경유,1459.64
2021년07월,서울,경유,1510.23
2021년08월,서울,경유,1526.71
2021년09월,서울,경유,1522.31
2021년10월,서울,경유,1591.46
2021년11월,서울,경유,1618.4
2021년12월,서울,경유,1539.56
2022년01월,서울,경유,1535.69
2022년02월,서울,경유,1614.18
2022년03월,서울,경유,1907.9
2022년04월,서울,경유,1972.8
2022년05월,서울,경유,2018.48
2022년06월,서울,경유,2151.39
2022년07월,서울,경유,2135.77
2022년08월,서울,경유,1945.22
2022년09월,서울,경유,1920.22
2022년10월,서울,경유,1904.1
2022년11월,서울,경유,1937.87
2022년12월,서울,경유,1865.33
2023년01월,서울,경유,1759.17
2023년02월,서울,경유,1694.53
2023년03월,서울,경유,1635.38
2023년04월,서울,경유,1633.88
2023년05월,서울,경유,1576.39
2023년06월,서울,경유,1502.67
2023년07월,서울,경유,1508.8
2023년08월,서울,경유,1674.89
2023년09월,서울,경유,1751.44
2023년10월,서울,경유,1770.9
2023년11월,서울,경유,1703.18
2023년12월,서울,경유,1609.46
2024년01월,서울,경유,1568.06
2024년02월,서울,경유,1611.32
2024년03월,서울,경유,1623.32
2024년04월,서울,경유,1641.57
2024년05월,서울,경유,1627.24
2024년06월,서울,경유,1580.46
2024년07월,서울,경유,1637.64
2024년08월,서울,경유,1615.62
2024년09월,서울,경유,1544.18
2024년10월,서울,경유,1511.46
2024년11월,서울,경유,1552.6
2024년12월,서울,경유,1576.73
2025년01월,서울,경유,1643.45
2025년02월,서울,경유,1665.71
2025년03월,서울,경유,1625.31
2025년04월,서울,경유,1592.64
2025년05월,서울,경유,1592.06
2020년01월,부산,경유,1378.54
2020년02월,부산,경유,1344.53
2020년03월,부산,경유,1253.96
2020년04월,부산,경유,1098.41
2020년05월,부산,경유,1040.46
2020년06월,부산,경유,1109.39
2020년07월,부산,경유,1151.2
2020년08월,부산,경유,1153.24
2020년09월,부산,경유,1141.55
2020년10월,부산,경유,1115.32
2020년11월,부산,경유,1099.3
2020년12월,부산,경유,1152.62
2021년01월,부산,경유,1231.38
2021년02월,부산,경유,1250.7
2021년03월,부산,경유,1306.64
2021년04월,부산,경유,1323.81
2021년05월,부산,경유,1327.81
2021년06월,부산,경유,1360.34
2021년07월,부산,경유,1418.01
2021년08월,부산,경유,1430.23
2021년09월,부산,경유,1426.96
2021년10월,부산,경유,1490.87
2021년11월,부산,경유,1520.57
2021년12월,부산,경유,1441.57
2022년01월,부산,경유,1437.91
2022년02월,부산,경유,1516.08
2022년03월,부산,경유,1814.59
2022년04월,부산,경유,1883.79
2022년05월,부산,경유,1938.13
2022년06월,부산,경유,2069.63
2022년07월,부산,경유,2059.73
2022년08월,부산,경유,1860.47
2022년09월,부산,경유,1819.09
2022년10월,부산,경유,1808.98
2022년11월,부산,경유,1858.28
2022년12월,부산,경유,1755.69
2023년01월,부산,경유,1640.48
2023년02월,부산,경유,1576.4
2023년03월,부산,경유,1514.58
2023년04월,부산,경유,1512.8
2023년05월,부산,경유,1454.43
2023년06월,부산,경유,1376
2023년07월,부산,경유,1374.3
2023년08월,부산,경유,1562.77
2023년09월,부산,경유,1653.87
2023년10월,부산,경유,1673.81
2023년11월,부산,경유,1597.99
2023년12월,부산,경유,1492.05
2024년01월,부산,경유,1451.7
2024년02월,부산,경유,1500.35
2024년03월,부산,경유,1521.93
2024년04월,부산,경유,1537.78
2024년05월,부산,경유,1515.16
2024년06월,부산,경유,1467.08
2024년07월,부산,경유,1530.19
2024년08월,부산,경유,1507.17
2024년09월,부산,경유,1435.19
2024년10월,부산,경유,1394.06
2024년11월,부산,경유,1434.12
2024년12월,부산,경유,1480.94
2025년01월,부산,경유,1554.23
2025년02월,부산,경유,1579.33
2025년03월,부산,경유,1531.36
2025년04월,부산,경유,1481.91
2025년05월,부산,경유,1474.67
2020년01월,대구,경유,1374.25
2020년02월,대구,경유,1340.02
2020년03월,대구,경유,1236.18
2020년04월,대구,경유,1080.53
2020년05월,대구,경유,1024.97
2020년06월,대구,경유,1099.27
2020년07월,대구,경유,1138.63
2020년08월,대구,경유,1136.35
2020년09월,대구,경유,1121.81
2020년10월,대구,경유,1101.4
2020년11월,대구,경유,1088
2020년12월,대구,경유,1144.14
2021년01월,대구,경유,1226.88
2021년02월,대구,경유,1241.69
2021년03월,대구,경유,1288.79
2021년04월,대구,경유,1310.75
2021년05월,대구,경유,1313.06
2021년06월,대구,경유,1350.45
2021년07월,대구,경유,1406.2
2021년08월,대구,경유,1418.5
2021년09월,대구,경유,1412.77
2021년10월,대구,경유,1486.9
2021년11월,대구,경유,1521.55
2021년12월,대구,경유,1438.58
2022년01월,대구,경유,1421.46
2022년02월,대구,경유,1509.13
2022년03월,대구,경유,1810.64
2022년04월,대구,경유,1874.2
2022년05월,대구,경유,1934.16
2022년06월,대구,경유,2061.22
2022년07월,대구,경유,2047.8
2022년08월,대구,경유,1843.96
2022년09월,대구,경유,1804.32
2022년10월,대구,경유,1802.39
2022년11월,대구,경유,1845.14
2022년12월,대구,경유,1735.71
2023년01월,대구,경유,1626.49
2023년02월,대구,경유,1557.98
2023년03월,대구,경유,1496.29
2023년04월,대구,경유,1502.55
2023년05월,대구,경유,1422.07
2023년06월,대구,경유,1350.97
2023년07월,대구,경유,1365.36
2023년08월,대구,경유,1561.24
2023년09월,대구,경유,1637.13
2023년10월,대구,경유,1647.08
2023년11월,대구,경유,1585.18
2023년12월,대구,경유,1478.81
2024년01월,대구,경유,1434.82
